dataset_id,donor_id,sample_id,assay,cell_lineage,expected_from_design,donor_level_cell_count,eligible_at_30_cells,evidence_basis
GSE136103,Healthy3,GSM4041156,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Healthy3,GSM4041156,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Healthy3,GSM4041156,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Healthy3,GSM4041157,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Healthy3,GSM4041157,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Healthy3,GSM4041157,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Healthy4,GSM4041158,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Healthy4,GSM4041158,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Healthy4,GSM4041158,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Healthy4,GSM4041159,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Healthy4,GSM4041159,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Healthy4,GSM4041159,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Healthy5,GSM4041160,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Healthy5,GSM4041160,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Healthy5,GSM4041160,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Cirrhotic1,GSM4041161,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Cirrhotic1,GSM4041161,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Cirrhotic1,GSM4041161,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Cirrhotic1,GSM4041162,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Cirrhotic1,GSM4041162,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Cirrhotic1,GSM4041162,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Cirrhotic1,GSM4041163,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Cirrhotic1,GSM4041163,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Cirrhotic1,GSM4041163,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Cirrhotic2,GSM4041164,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Cirrhotic2,GSM4041164,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Cirrhotic2,GSM4041164,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Cirrhotic2,GSM4041165,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Cirrhotic2,GSM4041165,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Cirrhotic2,GSM4041165,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Cirrhotic3,GSM4041166,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Cirrhotic3,GSM4041166,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Cirrhotic3,GSM4041166,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Cirrhotic3,GSM4041167,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Cirrhotic3,GSM4041167,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Cirrhotic3,GSM4041167,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Cirrhotic4,GSM4041168,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Cirrhotic4,GSM4041168,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Cirrhotic4,GSM4041168,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE136103,Cirrhotic5,GSM4041169,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,author counts/annotations
GSE136103,Cirrhotic5,GSM4041169,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,author Fig.4
GSE136103,Cirrhotic5,GSM4041169,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,author Fig.5
GSE181483_human,human_ctrl1,GSM5741404,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC atlas; donor-state counts pending
GSE181483_human,human_ctrl1,GSM5741404,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC atlas; donor-state counts pending
GSE181483_human,human_ctrl1,GSM5741404,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC atlas; donor-state counts pending
GSE181483_human,human_ctrl2,GSM5741405,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC atlas; donor-state counts pending
GSE181483_human,human_ctrl2,GSM5741405,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC atlas; donor-state counts pending
GSE181483_human,human_ctrl2,GSM5741405,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC atlas; donor-state counts pending
GSE181483_human,human_cir1,GSM5741406,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC atlas; donor-state counts pending
GSE181483_human,human_cir1,GSM5741406,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC atlas; donor-state counts pending
GSE181483_human,human_cir1,GSM5741406,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC atlas; donor-state counts pending
GSE181483_human,human_cir2,GSM5741407,scRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,NPC atlas; donor-state counts pending
GSE181483_human,human_cir2,GSM5741407,scRNA-seq,endothelial,yes,not computed in Phase 0,pending,NPC atlas; donor-state counts pending
GSE181483_human,human_cir2,GSM5741407,scRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,NPC atlas; donor-state counts pending
GSE202379,P70,GSM6112209,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P70,GSM6112209,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P70,GSM6112209,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P48,GSM6112210,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P48,GSM6112210,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P48,GSM6112210,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P77,GSM6112211,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P77,GSM6112211,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P77,GSM6112211,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P78,GSM6112212,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P78,GSM6112212,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P78,GSM6112212,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P62,GSM6112213,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P62,GSM6112213,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P62,GSM6112213,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P12,GSM6112214,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P12,GSM6112214,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P12,GSM6112214,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P22,GSM6112215,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P22,GSM6112215,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P22,GSM6112215,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P83,GSM6112216,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P83,GSM6112216,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P83,GSM6112216,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P67,GSM6112217,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P67,GSM6112217,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P67,GSM6112217,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P52,GSM6112218,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P52,GSM6112218,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P52,GSM6112218,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P53,GSM6112219,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P53,GSM6112219,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P53,GSM6112219,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P54,GSM6112220,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P54,GSM6112220,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P54,GSM6112220,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P71,GSM6112221,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P71,GSM6112221,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P71,GSM6112221,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P64,GSM6112222,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P64,GSM6112222,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P64,GSM6112222,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P6,GSM6112223,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P6,GSM6112223,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P6,GSM6112223,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P49,GSM6112224,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P49,GSM6112224,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P49,GSM6112224,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P50,GSM6112225,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P50,GSM6112225,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P50,GSM6112225,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P51,GSM6112226,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P51,GSM6112226,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P51,GSM6112226,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P68,GSM6112227,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P68,GSM6112227,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P68,GSM6112227,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P75,GSM6112228,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P75,GSM6112228,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P75,GSM6112228,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P76,GSM6112229,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P76,GSM6112229,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P76,GSM6112229,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P60,GSM6112230,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P60,GSM6112230,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P60,GSM6112230,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P7,GSM6112231,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P7,GSM6112231,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P7,GSM6112231,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P19,GSM6112232,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P19,GSM6112232,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P19,GSM6112232,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P8,GSM6112233,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P8,GSM6112233,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P8,GSM6112233,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P20,GSM6112234,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P20,GSM6112234,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P20,GSM6112234,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P9,GSM6112235,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P9,GSM6112235,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P9,GSM6112235,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P21,GSM6112236,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P21,GSM6112236,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P21,GSM6112236,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PHL2,GSM6112237,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PHL2,GSM6112237,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PHL2,GSM6112237,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL103,GSM6112238,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL103,GSM6112238,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL103,GSM6112238,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P15,GSM6112239,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P15,GSM6112239,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P15,GSM6112239,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL103,GSM6112240,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL103,GSM6112240,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL103,GSM6112240,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P16,GSM6112241,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P16,GSM6112241,snRNA-seq,endothelial,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,P16,GSM6112241,snRNA-seq,mesenchymal_hsc_myofibroblast,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
GSE202379,PCL103,GSM6112242,snRNA-seq,macrophage_monocyte,yes,not computed in Phase 0,pending,whole-liver snRNA; ≥9 advanced/cirrhosis donors; per-state ≥30 audit pending
